sample_index,t_seconds,raw,voltage_v,current_a
372,0.016499,0,0.000000,-13.513514
373,0.016541,0,0.000000,-13.513514
374,0.016584,0,0.000000,-13.513514
375,0.016626,0,0.000000,-13.513514
376,0.016669,0,0.000000,-13.513514
377,0.016720,0,0.000000,-13.513514
378,0.016762,0,0.000000,-13.513514
379,0.016808,0,0.000000,-13.513514
380,0.016850,0,0.000000,-13.513514
381,0.016893,0,0.000000,-13.513514
382,0.016935,0,0.000000,-13.513514
383,0.016978,0,0.000000,-13.513514
384,0.017021,0,0.000000,-13.513514
385,0.017063,0,0.000000,-13.513514
386,0.017106,0,0.000000,-13.513514
387,0.017149,0,0.000000,-13.513514
388,0.017191,0,0.000000,-13.513514
389,0.017234,0,0.000000,-13.513514
390,0.017277,0,0.000000,-13.513514
391,0.017319,0,0.000000,-13.513514
392,0.017362,0,0.000000,-13.513514
393,0.017404,0,0.000000,-13.513514
394,0.017455,0,0.000000,-13.513514
395,0.017498,0,0.000000,-13.513514
396,0.017540,0,0.000000,-13.513514
397,0.017583,0,0.000000,-13.513514
398,0.017626,0,0.000000,-13.513514
399,0.017668,0,0.000000,-13.513514
400,0.017711,0,0.000000,-13.513514
401,0.017754,0,0.000000,-13.513514
402,0.017796,0,0.000000,-13.513514
403,0.017844,0,0.000000,-13.513514
404,0.017887,0,0.000000,-13.513514
405,0.017929,0,0.000000,-13.513514
406,0.017972,0,0.000000,-13.513514
407,0.018015,0,0.000000,-13.513514
408,0.018057,0,0.000000,-13.513514
409,0.018100,0,0.000000,-13.513514
410,0.018143,0,0.000000,-13.513514
411,0.018185,0,0.000000,-13.513514
412,0.018228,0,0.000000,-13.513514
413,0.018270,0,0.000000,-13.513514
414,0.018321,0,0.000000,-13.513514
415,0.018363,0,0.000000,-13.513514
416,0.018405,0,0.000000,-13.513514
417,0.018448,0,0.000000,-13.513514
418,0.018490,0,0.000000,-13.513514
419,0.018533,0,0.000000,-13.513514
420,0.018576,0,0.000000,-13.513514
421,0.018619,0,0.000000,-13.513514
422,0.018661,0,0.000000,-13.513514
423,0.018703,0,0.000000,-13.513514
424,0.018746,0,0.000000,-13.513514
425,0.018789,0,0.000000,-13.513514
426,0.018831,0,0.000000,-13.513514
427,0.018874,0,0.000000,-13.513514
428,0.018916,0,0.000000,-13.513514
429,0.018959,0,0.000000,-13.513514
430,0.019002,0,0.000000,-13.513514
431,0.019056,0,0.000000,-13.513514
432,0.019099,0,0.000000,-13.513514
433,0.019142,0,0.000000,-13.513514
434,0.019184,0,0.000000,-13.513514
435,0.019227,0,0.000000,-13.513514
436,0.019269,0,0.000000,-13.513514
437,0.019311,0,0.000000,-13.513514
438,0.019354,0,0.000000,-13.513514
439,0.019397,0,0.000000,-13.513514
440,0.019439,0,0.000000,-13.513514
441,0.019481,0,0.000000,-13.513514
442,0.019524,0,0.000000,-13.513514
443,0.019566,0,0.000000,-13.513514
444,0.019609,0,0.000000,-13.513514
445,0.019652,0,0.000000,-13.513514
446,0.019694,0,0.000000,-13.513514
447,0.019737,0,0.000000,-13.513514
448,0.019788,0,0.000000,-13.513514
449,0.019830,0,0.000000,-13.513514
450,0.019925,0,0.000000,-13.513514
451,0.019975,0,0.000000,-13.513514
452,0.020018,0,0.000000,-13.513514
453,0.020061,0,0.000000,-13.513514
454,0.020104,0,0.000000,-13.513514
455,0.020146,0,0.000000,-13.513514
456,0.020189,0,0.000000,-13.513514
457,0.020232,0,0.000000,-13.513514
458,0.020342,0,0.000000,-13.513514
459,0.020386,0,0.000000,-13.513514
460,0.020431,0,0.000000,-13.513514
461,0.020474,0,0.000000,-13.513514
462,0.020517,0,0.000000,-13.513514
463,0.020559,0,0.000000,-13.513514
464,0.020602,0,0.000000,-13.513514
465,0.020644,0,0.000000,-13.513514
466,0.020687,0,0.000000,-13.513514
467,0.020730,0,0.000000,-13.513514
468,0.020773,0,0.000000,-13.513514
469,0.020815,0,0.000000,-13.513514
470,0.020858,0,0.000000,-13.513514
471,0.020900,0,0.000000,-13.513514
472,0.020943,0,0.000000,-13.513514
473,0.020986,0,0.000000,-13.513514
474,0.021028,0,0.000000,-13.513514
475,0.021071,0,0.000000,-13.513514
476,0.021114,0,0.000000,-13.513514
477,0.021157,0,0.000000,-13.513514
478,0.021199,0,0.000000,-13.513514
479,0.021242,0,0.000000,-13.513514
480,0.021284,0,0.000000,-13.513514
481,0.021327,0,0.000000,-13.513514
482,0.021370,0,0.000000,-13.513514
483,0.021413,0,0.000000,-13.513514
484,0.021456,0,0.000000,-13.513514
485,0.021498,0,0.000000,-13.513514
486,0.021541,0,0.000000,-13.513514
487,0.021584,0,0.000000,-13.513514
488,0.021626,0,0.000000,-13.513514
489,0.021669,0,0.000000,-13.513514
490,0.021720,0,0.000000,-13.513514
491,0.021764,0,0.000000,-13.513514
492,0.021806,0,0.000000,-13.513514
493,0.021849,0,0.000000,-13.513514
494,0.021891,0,0.000000,-13.513514
495,0.021933,0,0.000000,-13.513514
496,0.021976,0,0.000000,-13.513514
497,0.022018,0,0.000000,-13.513514
498,0.022061,0,0.000000,-13.513514
499,0.022105,0,0.000000,-13.513514
500,0.022148,0,0.000000,-13.513514
501,0.022190,0,0.000000,-13.513514
502,0.022233,0,0.000000,-13.513514
503,0.022276,0,0.000000,-13.513514
504,0.022318,0,0.000000,-13.513514
505,0.022361,0,0.000000,-13.513514
506,0.022404,0,0.000000,-13.513514
507,0.022454,0,0.000000,-13.513514
508,0.022497,0,0.000000,-13.513514
509,0.022540,0,0.000000,-13.513514
510,0.022583,0,0.000000,-13.513514
511,0.022626,0,0.000000,-13.513514
512,0.022669,0,0.000000,-13.513514
513,0.022719,0,0.000000,-13.513514
514,0.022762,0,0.000000,-13.513514
515,0.022804,0,0.000000,-13.513514
516,0.022855,0,0.000000,-13.513514
517,0.022898,0,0.000000,-13.513514
518,0.022940,0,0.000000,-13.513514
519,0.022983,0,0.000000,-13.513514
520,0.023026,0,0.000000,-13.513514
521,0.023068,0,0.000000,-13.513514
522,0.023120,0,0.000000,-13.513514
523,0.023165,0,0.000000,-13.513514
524,0.023207,0,0.000000,-13.513514
525,0.023250,0,0.000000,-13.513514
526,0.023293,0,0.000000,-13.513514
527,0.023335,0,0.000000,-13.513514
528,0.023386,0,0.000000,-13.513514
529,0.023429,0,0.000000,-13.513514
530,0.023472,0,0.000000,-13.513514
531,0.023514,0,0.000000,-13.513514
532,0.023557,0,0.000000,-13.513514
533,0.023599,0,0.000000,-13.513514
534,0.023642,0,0.000000,-13.513514
535,0.023686,0,0.000000,-13.513514
536,0.023728,0,0.000000,-13.513514
537,0.023771,0,0.000000,-13.513514
538,0.023813,0,0.000000,-13.513514
539,0.023856,0,0.000000,-13.513514
540,0.023935,0,0.000000,-13.513514
541,0.023989,0,0.000000,-13.513514
542,0.024031,0,0.000000,-13.513514
543,0.024074,0,0.000000,-13.513514
544,0.024117,0,0.000000,-13.513514
545,0.024159,0,0.000000,-13.513514
546,0.024202,0,0.000000,-13.513514
547,0.024253,0,0.000000,-13.513514
548,0.024295,0,0.000000,-13.513514
549,0.024338,0,0.000000,-13.513514
550,0.024380,0,0.000000,-13.513514
551,0.024424,0,0.000000,-13.513514
552,0.024467,0,0.000000,-13.513514
553,0.024509,0,0.000000,-13.513514
554,0.024552,0,0.000000,-13.513514
555,0.024594,0,0.000000,-13.513514
556,0.024637,0,0.000000,-13.513514
557,0.024679,0,0.000000,-13.513514
558,0.024722,0,0.000000,-13.513514
559,0.024764,0,0.000000,-13.513514
560,0.024807,0,0.000000,-13.513514
561,0.024850,0,0.000000,-13.513514
562,0.024892,0,0.000000,-13.513514
563,0.024935,0,0.000000,-13.513514
564,0.024977,0,0.000000,-13.513514
565,0.025020,0,0.000000,-13.513514
566,0.025063,0,0.000000,-13.513514
567,0.025106,0,0.000000,-13.513514
568,0.025149,0,0.000000,-13.513514
569,0.025191,0,0.000000,-13.513514
570,0.025234,0,0.000000,-13.513514
571,0.025276,0,0.000000,-13.513514
572,0.025319,0,0.000000,-13.513514
573,0.025361,0,0.000000,-13.513514
574,0.025404,0,0.000000,-13.513514
575,0.025454,0,0.000000,-13.513514
576,0.025497,0,0.000000,-13.513514
577,0.025539,0,0.000000,-13.513514
578,0.025582,0,0.000000,-13.513514
579,0.025624,0,0.000000,-13.513514
580,0.025667,0,0.000000,-13.513514
581,0.025709,0,0.000000,-13.513514
582,0.025752,0,0.000000,-13.513514
583,0.025794,0,0.000000,-13.513514
584,0.025837,0,0.000000,-13.513514
585,0.025880,0,0.000000,-13.513514
586,0.025923,0,0.000000,-13.513514
587,0.025969,0,0.000000,-13.513514
588,0.026012,0,0.000000,-13.513514
589,0.026055,0,0.000000,-13.513514
590,0.026098,0,0.000000,-13.513514
591,0.026141,0,0.000000,-13.513514
592,0.026183,0,0.000000,-13.513514
593,0.026226,0,0.000000,-13.513514
594,0.026269,0,0.000000,-13.513514
595,0.026319,0,0.000000,-13.513514
596,0.026362,0,0.000000,-13.513514
597,0.026405,0,0.000000,-13.513514
598,0.026448,0,0.000000,-13.513514
599,0.026490,0,0.000000,-13.513514
600,0.026533,0,0.000000,-13.513514
601,0.026575,0,0.000000,-13.513514
602,0.026618,0,0.000000,-13.513514
603,0.026661,0,0.000000,-13.513514
604,0.026704,0,0.000000,-13.513514
605,0.026746,0,0.000000,-13.513514
606,0.026789,0,0.000000,-13.513514
607,0.026835,0,0.000000,-13.513514
608,0.026878,0,0.000000,-13.513514
609,0.026921,0,0.000000,-13.513514
610,0.026963,0,0.000000,-13.513514
611,0.027006,0,0.000000,-13.513514
612,0.027049,0,0.000000,-13.513514
613,0.027092,0,0.000000,-13.513514
614,0.027134,0,0.000000,-13.513514
615,0.027177,0,0.000000,-13.513514
616,0.027219,0,0.000000,-13.513514
617,0.027262,0,0.000000,-13.513514
618,0.027305,0,0.000000,-13.513514
619,0.027347,0,0.000000,-13.513514
620,0.027390,0,0.000000,-13.513514
621,0.027433,0,0.000000,-13.513514
622,0.027475,0,0.000000,-13.513514
623,0.027518,0,0.000000,-13.513514
624,0.027560,0,0.000000,-13.513514
625,0.027603,0,0.000000,-13.513514
626,0.027654,0,0.000000,-13.513514
627,0.027697,0,0.000000,-13.513514
628,0.027739,0,0.000000,-13.513514
629,0.027782,0,0.000000,-13.513514
630,0.027825,0,0.000000,-13.513514
631,0.027893,0,0.000000,-13.513514
632,0.027942,0,0.000000,-13.513514
633,0.027985,0,0.000000,-13.513514
634,0.028028,0,0.000000,-13.513514
635,0.028070,0,0.000000,-13.513514
636,0.028121,0,0.000000,-13.513514
637,0.028164,0,0.000000,-13.513514
638,0.028206,0,0.000000,-13.513514
639,0.028249,0,0.000000,-13.513514
640,0.028291,0,0.000000,-13.513514
641,0.028334,0,0.000000,-13.513514
